id,latitude,longitude,name,population,ano,kdu-csl,top-09,kscm,cssd,jobbik,fidesz-kdnp
jindrichuv-hradec,49.1443265,15.003354,Jindřichův Hradec,90604,0,0,0,0,0,0,0
cheb,50.0793511,12.3703526,Cheb,90188,0,0,0,-1,0,0,0
sokolov,50.1815641,12.640035,Sokolov,89961,0,0,0,-1,0,0,0
jablonec-nad-nisou,50.7240899,15.1710958,Jablonec nad Nisou,88200,0,0,1,0,0,0,0
vyskov,49.2778194,16.9994446,Vyškov,88154,0,0,0,0,1,0,0
beroun,49.9640292,14.0733907,Beroun,86160,-1,0,1,0,0,0,0
klatovy,49.3951096,13.2935526,Klatovy,85726,0,0,0,0,0,0,0
louny,50.3576477,13.7973796,Louny,85191,0,0,0,1,0,0,0
jicin,50.4375086,15.3515976,Jičín,79702,0,0,1,0,0,0,0
rychnov-nad-kneznou,50.1631069,16.274837,Rychnov nad Kněžnou,77829,0,0,0,0,0,0,0
plzen-sever,49.8814234,13.2812881231,Plzeň-sever,74940,0,0,0,0,0,0,0
semily,50.602249,15.33526,Semily,73605,0,0,1,0,0,0,0
kutna-hora,49.9486561,15.2681123,Kutná Hora,73404,0,0,0,0,0,0,0
pelhrimov,49.4317154,15.2233722,Pelhřimov,71914,0,-1,0,0,1,0,0
pisek,49.3089887,14.147769,Písek,69843,0,0,1,0,0,0,0
strakonice,49.2616735,13.9023123,Strakonice,69786,0,0,0,0,0,0,0
plzen-jih,49.7477415,13.3775249,Plzeň-jih,62389,0,0,0,0,0,0,0
cesky-krumlov,48.8111744,14.3151514,Český Krumlov,60516,0,0,0,0,0,0,0
domazlice,49.4407069,12.9298338,Domažlice,59926,0,0,0,-1,0,0,0
rakovnik,50.1039674,13.7333385,Rakovník,54993,0,0,0,1,0,0,0
tachov,49.7955449,12.6335852,Tachov,51917,0,0,0,-1,0,0,0
prachatice,49.0131904,13.9974631,Prachatice,50010,0,0,0,0,0,0,0
rokycany,49.7429636,13.5945245,Rokycany,47458,0,0,0,0,0,0,0
jesenik,50.2296385,17.2046012,Jeseník,38779,0,0,0,0,0,0,0
